,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,a+,2-faced,,,,,,,,,,,
1,321,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,abound,2-faces,,,,,,,,,,,
2,2345,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,abounds,abnormal,,,,,,,,,,,
3,4321,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,abundance,abolish,,,,,,,,,,,
4,432,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,abundant,abominable,,,,,,,,,,,
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,accessable,abominably,,,,,,,,,,,
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,accessible,abominate,,,,,,,,,,,
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,acclaim,abomination,,,,,,,,,,,
9,4741,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,acclaimed,abort,,,,,,,,,,,
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,acclamation,aborted,,,,,,,,,,,
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,accolade,aborts,,,,,,,,,,,
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,accolades,abrade,,,,,,,,,,,
13,6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,accommodative,abrasive,,,,,,,,,,,
14,7050,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,accomodative,abrupt,,,,,,,,,,,
15,7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,accomplish,abruptly,,,,,,,,,,,
16,7973.6,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,accomplished,abscond,,,,,,,,,,,
17,8435.4,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,accomplishment,absence,,,,,,,,,,,
18,8897.2,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,accomplishments,absent-minded,,,,,,,,,,,
19,9359,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,accurate,absentee,,,,,,,,,,,
21,10282.6,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,accurately,absurd,,,,,,,,,,,
22,10744.4,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,achievable,absurdity,,,,,,,,,,,
23,11206.2,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,achievement,absurdly,,,,,,,,,,,
24,11668,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,achievements,absurdness,,,,,,,,,,,
